original_id,original
16,"Item ung de ses complices appellé Jehan Livret , luquel az esté brulé , sçavoit donné maladie aux gens et aux bestes atout de la grasse , de quoy il les frotoit et puys les frappoit d’ung baston ; et tantost il estoent malades et qui n’y mestoit remede, il povoent bien morir, mais quant on les ly presentoit, elle le sçavoit bien guerir par parolles qu’elle s sçait, lesquelles, depuys qu’elle est prise est es mains de la justice, ne sont de nulle value."
17,"Item le mari qu’elle az desriement ehu en ceste ville az bien sceu qu’elle estoit heresge , et celluy son mari quant il ouvroit pour les gens en leur maisons, il emploit ses solars de lanne et en amassoit une quantité, puys la vendoit a ceulx de aulcunes gens de Rom Moudon ."
18,Verte Et si cy apprés sont ceulx qui sont ehu de ladite sette : Pierre Morat ; Berthet Dam a o n ; la femme ou Gros Bovey de Larrenjoz ; la femme a Magniens ; Jehan Guilliame dou Buaz ; le filz a Niccod de La Vernaz ; et pluseurs aultres qui sont ehu executé par justice et desquelx elle n’est point raccordant .
19,Hec juditio presentata xxii augusti u i gne cremari adjudicata est.
20,"94 Kund und zů wussen sye aller mengklichenn, das Frantz Maradan von Morlon in der ge fäncknus miner g herren und obern schult heyssen und rhats der statt Fryburg verjechen und bekhandt hatt, wie er uß ingebung, be trug unnd verfürung des bösen geists offt und dick uß der christenheyt mit dem veech gewybet, nemmlich mit küyen , kälbern, geissen , stůten und anderen unver nunfftigen thieren undt unmentschliche werk der un küscheyt wider gott unnd die natur volbracht unnd begangen hab es sye zů Morlon , Wulckischwyl , Treffels oder annderschwa ."
21,"Sollicher gstalt , das im die zal unnd vile desselben vergessen sye."
22,Beschechenn uff donstag dem xi tag mertens 1546 .
23,"Uff das haben min g herren diser loblichenn statt Fryburg , nach gruntlicher unnd eigentlicher er farung und erdenckung siner malefizischen unnd uncristenlichen handlung, verjicht und übelthat, als ein fromme ordenliche oberkeyt (die zů handhabung göttlicher und mentschlicher gerechtigkeyt und zů under truckung des bösen von gott geordnet und gesetzt ist) in gesessnem rhat geurtheilet, zů recht gesprochenn und erkhandt, das genanter armer mentsch dem nachricher an sin hand bevolchen werden, der ime an die gewanliche gerichtstatt an Galgenberg füren, daselbs sin cörpel zů äschen brennen unnd in also vom leben zum tod bringen solle."
24,Damit sin schandtlicher unnd grusamlicher tad mengklichem ein warnung forcht und ebenbild bringe.
25,"Unnd wann er güter hätte, so hinder minene herren gelegen wären, die sölben denselben minen gnädigen herren verfallen sin."
26,Gott helff der seel.
27,Unnd min herren die burger von wegenn Francey Maradans von Morlon mißhandlung versampt.
28,"Wellicher Frantz Maradan umb sin uncristenliche mißhandlung , denne er beckantlich unnd anredt gsin."
29,"Ist zu dem fhür läbendig geurteilt worden, der almech tig gott wolle ine und sin arme seel gnadigklich bedenckenn."
30,SSRQ FR I/2/8 100.1-1 SSRQ FR I/2/8 100.2-1 SSRQ FR I/2/8 100.3-1 SSRQ FR I/2/8 100.4-1 SSRQ FR I/2/8 100.5-1 SSRQ FR I/2/8 100.6-1 SSRQ FR I/2/8 100.7-1 SSRQ FR I/2/8 100.8-1 SSRQ FR I/2/8 100.9-1 SSRQ FR I/2/8 100.10-1
31,"Jaquemard 23 1637 , judex h großweibel Gemeint ist Beat Jakob von Montenach ."
32,"H Fryo Heylman Gartner , Wildt Weibel Barbli Bodmer von Wattemwyl erfragt, warum sy gfängklich angenommen worden sye; hatt zum bscheidt gäben, sy wüße eß nitt."
33,"Ob sy hievor nitt ein nen andern man gehabt, hatt geandtworttet nein."
34,Mitt dem jezigen namens Billet habe sy zu Berfitschriedt vor ohngfarlich 20 jahren gedient unndt ihn zur ehe genommen.
35,"Ob sy den leütten nitt böse geister gäben, hatt zur andtwortt gäben nein."
36,"Sy wüsse nitt, waß das sye."
37,"Sy vermeldet , sy begange kein unthat; daß an laster habe sy, in der hitz des zorns zu schwerren , jedoch niemand zu verfluchen."
38,"Die jenigen, so sy hex schelttend, thüend ihren ungüttlich, unndt wan mans ihren under mundts gesagt, habe sy zu ihrer seuberung rechtliche mittel an die handt genommen, ein jeder möge reden, waß ihm geliebt."
39,Sy ist der artikeln des examens abred .
40,Le passage qui suit concerne le procès mené contre Christine Bovigny .
41,Voir SSRQ FR I/2/8 99.7-1 .
42,"Blutgericht Barbli Bodmer von Wattenwyll Berner gebiets , so ein zytt lang in Velgaschür gewont, ein hex , die gott verlougnet , dem bösen geist gehuldiget , mitt ime ir unzucht getriben, underschidlichen personen die böse geister yngeben, anderen malefizische wehtumb angethan, dar von etliche gestorben."
43,Ist leben dig zum füwr condamniert.
44,Gfangne Von Felgenschür soll gefoltert werden.
45,Diese Anweisung bezieht sich auf Barbli Billet-Bodmer .
46,Der nächste Abschnitt betrifft den Prozess gegen Christine Bovigny .
47,Vgl.
48,SSRQ FR I/2/8 99.8-1 .
49,"Im bösen thurn 24 julii , judex h großweibel Gemeint ist Beat Jakob von Montenach ."
50,"H Fryo Techterman , Gribollet , Heylman Gartner , Wildt Weibel Ce passage concerne le procès mené contre Christine Bovigny ."
51,Voir SSRQ FR I/2/8 99.9-1 .
52,"Ibidem Barbli vor gedacht beherttet, sy habe niemand beleidiget ."
53,"Erfragt, ob sy nit den Stephan Gaudron angesprochen habe, ihren ein roß fürzusezen , darmit gen Mesieres korn zu hollen."
54,"Hat geandtworttet, sy nitt, sonders ihr haußwürt ."
55,"Erfragt, ob sy nit vor 3 jahren am palmsontag in der kirchen neben gedachts Gaudrons haußfrouwen gsyn sye."
56,"Hatt zum bscheidt gäben nein, dann sy uß furcht von gedachter Gaudronna wegen der kirchen nitt damallen besucht habe."
57,"Gedachter Stephan habe ihren die unzucht angemut tet unndt allß sy synes willens nitt pflegen wöllen, zu ihren gesagt, es werde sy gerru wen, sy schlöuffe wol mitt keßlern in den hölzern umb."
58,"Sy habe ihn diser ursach wegen gescholtten , er aber an kein khundt schafft gezogen."
59,"Erforschet, ob sy nitt dem Pe tern Veillard schaden zugefügt habe."
60,Hatt ge andtworttet nein.
61,"Man sage, man gspirre ungeheurre in synem hauß, er habe kein fyr tag noch heillige zytt vor ougen."
62,"Erforschet, ob sy hievor nitt in banden gstanden sye."
63,Hatt zum bescheidt gäben nein.
64,Warumb man so vil böses von ihren rede.
65,"Hatt geandtworttet, ein sollicheß unglück berüre sy, ihr volck verfluche sy, daß sy von andern glouben abgetretten ist."
66,Ist der artikeln des examens abred .
67,Bittet umb gnad.
68,Man hatt sy ler uffzogen .
69,Gfangne Ce passage concerne le procès mené contre Christine Bovigny .
70,Voir SSRQ FR I/2/8 99.10-1 .
71,"Barbli Bodmer von Wattenwyll , mit dem lähren seil gefolteret , hat auch nichts bekhennen wöllen."
72,"Soll mit dem kleinen stein uffzogen unnd die grichts herren gemant werden, fürderlich den gfangnen abzu helffen ."
73,"Keller 29 julii 1637 , judex h großweibel Gemeint ist Beat Jakob von Montenach ."
74,"H Brodardt , h Franz Gottrow Techterman , Gribolet , Heylman Wildt Weibel Ce passage concerne le procès mené contre Marguerite Huguenot-Renevey ."
75,Voir SSRQ FR I/2/8 87.4-1 .
76,"Im bösen thurn Barbli vorgemeldt ermant, die warheit zu reden, hatt bekennt , sy habe vor dryen jahren gott verlöugnet im graben der Felgen schewr ."
77,Daselbst habe sy einn warmen lufft gespirt unndt sye in ein ohnmacht gefallen.
78,Zuvor habe sy in einnem zorn geschworren .
79,"Volgendts, da sy von diser schwachheit unndt abgang ihrer kräfften ein klein uffkommen sye, habe sy ein erschröckenli che stim gehört unndt von fernuß ein schwarzlecht hündli gesehen, so da bellete."
80,"Item eine grossen langen man, der sy gefragt, waß sy daselbst thue."
81,"Diser man sye gestalttet gsyn, samb hette er altte, zerrißne kleider."
82,Sy habe sich gesegnet unndt er sich darvon gemacht.
83,Daruff sye sy heimb gezogen unndt kranck gelegen.
84,"Uff die artikel deß examens er forschet, hatt bekennt , sy habe dem schnydern Veillard öpffel gäben, die sy mitt grüner salb angestrichen."
85,"Welliche salb ihren der böß geist gäben, namblichen daß er sy uff einnen stein in ihrem hauß gethan unndt sy dieselb dry mal daselbst gefunden."
86,"Der böß geist habe zu ihren gsagt, sy solle sich derselben gebrauchen in ihrer notturfft ."
87,"Sy habe den bösen geist 3 mal in gemeldtem graben antroffen, er habe sy by dem lingken or geküßt unndt sy ihn ouch, er hab sy under dem lingken knew gezeichnet mit einnem pfründli , er heiße Hänßli ."
88,In einnem kyb habe sy Carle Gottys nachpures haußfrouwen böse geister gäben in byren .
89,"Das zeichen habe sy mitt gesegnetem anken vertryben wöllen, es sye aber noch ein löchli überbliben."
90,Dem Petern Veillard habe sy zwey schwyn mitt ange salbeten schnizen verderbt .
91,"Vor dryen jahren habe sy Stephan Gaudrons khindt angeblase n t , so gestorben sye halb jahr darnach."
92,"Des Keß lers Es ist unklar, ob es sich hier um einen Personennamen oder um die Funktion des Kesslers handelt."
93,uffm Brauch Gemeint ist möglicherweise Bruch .
94,haußfrouwn uß kyb in schnizen böse geister gäben.
95,"Gegen gedachts Gaudrons magd geblasen , daß sy darab kranck worden sye."
96,"Sy bekennt , sy habe Gaudrons khindt uffgeholffen , aber allein daß Ave Maria uff ihm gebetten unndt das krytz gemacht."
97,"Der böß geist habe ihren zwey mal verbotten, un ser lieben frouwen meldung zu thun unndt so gottsdächtig zu syn."
98,"Sy habe Schufflers khindt kranck gemacht mitt eichlen , die sy zu vor im mundt gehabt."
99,"Der böß geist habe ihren bevolchen , böses zu thun."
100,"Sy habe mitt einnem stecken klein gutt verderbt , deren daß ein ihr, die andern Veillards waren."
101,"Sy habe gegen Veillards Tullins khindt, so gestorben ist, geblasen unndt ihn by der handt erwütscht."
102,"Wie ouch ein anders, so an dem arm erlamt ist."
103,"Sy habe M Wolffen bym Bernthor houßfrouwen dirre biren schnitz , brott, ziger gäben, darin sy züg gethan wie neßelsamen ."
104,"Sy vermeinne, gedachte frow werde ihrem khindt ouch darvon gäben haben."
105,"Sy habe der grossen Clauda böse gei ster gäben in wasser, daß sy ihren zu trinken gab."
106,Angedüttnen samen habe sy daheimb gefunden .
107,"Da sy den leutten böse geister gäben, habe sy sy angeblasen ."
108,"Sy habe dem bösen geist gesagt, sy wölle ihr läben lang syn syn ."
109,"Sy habe die bösen geister , die sy den lütten gäben, hinder dem offen gfunden in einnem brieffli."
110,"Sy habe zwey mal mitt dem bösen geist unzucht getriben ohne wollust , er habe kaltte knew , ein kaltte rutten und fieß gehabt wie ein roß ."
111,Er habe sy zu dem end nider gefelt .
112,"Sy sye mitt ihrem meister in gedachts Veillards hauß by nächtlicher wyl gangen, er hab sy darinn getragen."
113,Sy habe Petern zum Waldts Gemeint ist möglicherweise der langjährige Freiburger Stadtweibel Peter Zumwald .
114,"haußfrouwen ein halben bazen umb bott lohn gäben, so mitt grüner salb angstrichen war."
115,"Erfragt, ob sy nitt des würts zu Tavers magd nammens Tichtli ein wehtumb angethan habe."
116,Hatt zum bscheidt gäben nein.
117,"Einne, so man Tacconnary Vgl."
118,hierzu den Fall Rose Bise .
119,SSRQ FR I/2/8 102.1-1 .
120,"heißt, habe daß zugefügt, wie dan ihren gedachte Tichtli dasselbig an gezeigt."
121,Gefangne Ce passage concerne le procès mené contre Marguerite Huguenot-Renevey .
122,Voir SSRQ FR I/2/8 87.5-1 .
123,"Barbli Bodmer von Wattenwyll , sonst in Velgaschüer wohnhafft, mit dem kleinen stein gefolteret , hat bekhent , wie lang das sie ein hex sye, dem bösen geist gehuldiget , schon vil böses begangen, die böse geister underschidlichen personen zugeben."
124,"Soll noch an den zendner appliciert werden, die complicen erfragt werden."
125,Im bösen thurn julii 1637 Der Schreiber hat sich im Datum geirrt.
126,Laut Anweisung des Rats sollte sie am 30.
127,Juli mit dem Zentner gefoltert werden.
128,SSRQ FR I/2/8 100.6-1 .
129,", judex h großweibel Gemeint ist Beat Jakob von Montenach ."
130,H burgermeister Reyff Laut dem Freiburger Besatzungsbuch hielt eigentlich Tobias Gottrau seit Ende Juni 1637 das Amt des Bürgermeisters inne.
131,Reyff war sein Vorgänger.
132,"StAFR, Besatzungsbuch 13, fol."
133,33v.
134,"Techterman , Gribollet , Heylman Garttner , Wildt Weibel Barbli vor gedacht erfragt, zu wellicher zytt sy mitt dem bösen geist zu thun gehabt unndt wo."
135,Hatt zum bscheidt gäben tags im graben by der Felgen scheür ohne empfindung einniches wollusts.
136,"Der böß geist habe ihren angedüttnen samen gegäben, tags vor dem hauß, grün bekleidt."
137,"Ein stecken , so ihren Hänßli gegäben, habe sy allein 14 tag lang gehabt."
138,"Hänßli habe s z u ihren gesagt, sy solle den stecken uff ihr eigne gutt probieren."
139,"Sy habe der frouwen Marie Zelwegerin , altter gerberin in der Ow , ein wehthumb angethan mitt anblasen unndt kreüz schwer ren , wie ouch sagen, sy solle kranck werden ."
140,"Hänßli habe ihren bevolchen , gegen die leüt zu blasen unndt zu schwerren ."
141,"Der Agathen habe sy die handt, darinn sy grün salb gehabt, gebotten, uff daß end, daß sy kranck wurde."
142,"Böser meinung ouch mitt anblasen unndt anrürung einner handt dem jungen Baßler zugehörigen khindts , dem khindt ein wehtumb angethan."
143,Sy habe gemeldten samen Car le Boumgarters khind gäben in milch .
144,Angedüttnen samens habe sy by Petern Liebs graben gesäyt ein mal.
145,Mehr by junker Petern von Dießbachs hauß zu Menzißwyl zwey mal; zwey schwyn syend darvon verdorben.
146,"Mitt der grünen salb habe sy dem Peissard vor zweyen jahren an einnem bein ein wehtumb angethan mitt der grünen salb , die sy ihm an den hosen ange strichen, wellicheß wehtumb sy hinweg nemmen könti, wan er gen S. Wolffgang ginge."
147,In des jungen Baslers hauß ouch ein khindt mit anrürung ein anblasen wehtumb ange than.
148,"Sy habe den almächtigen gott gesehen, gestalttet wie ein fyner, altter man, habe einn wyssen, schönen bart getragen."
149,"Damalls habe gott zu ihren gesagt, wyllen sy sy Peissard hinke , sy so solle ne sy gen S. Wolffgang gahn opffern uff dryen alttaren, ein wächsin kerzen tragen unndt ein wächsin bein."
150,"By diser verloffenheit habe sy Hänßli nitt bekennt , gott sye mitt einnem schönen, wyssen kleidt an gethan unndt mitt einnem schönen degen ange gürttet gsyn."
151,Hänßli habe sich in wyberkleider vergstalttet in der sect .
152,"Zwo frouwen welt scher zungen syend mitt ihren in der sect gsyn, unndt ein alttlächtige teütsche."
153,"Sy habend dan zet, rotten wyn , so nitt gutt sonderß wie wasser war, getrunken, spyß gessen, so ouch nitt gutt war."
154,"Sy habend zwen gyger gehabt unndt einnen pfyffer , kleinne gsellen, einnes ellenbogens hoch, habend hurttig gedanzet , welliches sich zwo stund lang in gedachtem graben verlassen habe zu mitternacht ."
155,Gottys sohns wyb hab sy mitt anblasen ein wehtumb ange than a i n der Rychengassen .
156,"Margarethen Vizenz sohn ouch angeblasen , so zwey jahr kranck gsyn unndt endtlich gstorben ist."
157,"Adam Trews seeligen verlaßne ouch ange blasen vor halbem jahr , darab sy kranck worden."
158,"H Hansen Curtys kindt ouch angeblasen unnd uff den rugken gschlagen, darab es usgedor ret unndt gstorben sye; uß kyb , daß gemeldts khindt zu ihren mitt schneeballen geworffen habe."
159,"Ihr meister Hänßli habe sy ein mal geschlagen uß verdruß, daß sy nitt böses gnug thun woltt."
160,Sy habe sich lang darnach übel empfunden.
161,"Sy habe in diser übelmögenheit ihrem man angezeigt, man habe sy gschlagen, unndt er zu ihren geredt, sy wüsse nitt, waß sy sage."
162,Sy sye zwey mal in der sect gsyn in gedachtem graben.
163,"Der böß geist habe ihren geltt verheißen, ein ku matten und hauß zu koufen, unndt daß zwey mal ohne erstattung."
164,"Die altte frow, so sy in der sect gesehen, sye gehörloß, kleinner statur unndt schittle den kopff."
165,"Daß ander mal syend in der sect 10 wyber gsyn weltscher zungen, die sy nitt bekenne."
166,Ist mitt dem zendner uffzogen worden.
167,"Gefangne Barbli Bodmer mit dem zendtner uffzogen , hat vil unthaten unnd malefitz , die sie underschidlichen personen angethan, ouch in der sect gwesen zu syn, verjähen , ist der vorgehnden vergicht khendtlich ."
168,"Die gfangne soll mit iren confrontiert , nachwertz nach ferneren examination donstag vor gricht gstelt werden."
169,"Im bosen thurn 1 augusti 1637 , judex h großweibel Gemeint ist Beat Jakob von Montenach ."
170,H burgermeister Reyff Laut dem Freiburger Besatzungsbuch hatte Tobias Gottrau seit Ende Juni 1637 das Amt des Bürgermeisters inne.
171,"Ligerz Wildt , Gartner Weibel Barbli vorgemeldt, allß welliche hievor verjähen , sy sye mitt einner kurzen frouwen, so alttlächt unndt gehörloß sye wie ouch den kopff schittle, in der sect gsyn , hatt einner gnädigen oberkeit anlaß gäben, Marguerite Rinevey Voir SSRQ FR I/2/8 87.4-1 ."
172,obgemeldt ihren under ougen zu stellen.
173,"Unndt allß Barbli die Marguerite wol ersehen, ist durch Barbli angezeigt worden, die altte, so sy in der sect gesehen, sye vil ältter allß Marguerite , die sy nit bekenne , die andere habe ein bart ."
174,SSRQ FR I/2/8 101.1-1 SSRQ FR I/2/8 101.2-1 SSRQ FR I/2/8 101.3-1 SSRQ FR I/2/8 101.4-1 SSRQ FR I/2/8 101.5-1 SSRQ FR I/2/8 101.6-1 SSRQ FR I/2/8 101.7-1 SSRQ FR I/2/8 101.8-1 SSRQ FR I/2/8 101.9-1 SSRQ FR I/2/8 101.10-1 SSRQ FR I/2/8 101.11-1 SSRQ FR I/2/8 101.12-1
175,"H landtvogt von Montenach bericht, wie des mestraulx Verdons hußfrouw Gemeint ist Françoise Verdon-Berset ."
176,"von Dompierre , so uß dem Wistellachen bürtig, viler bößer fragwortt soll inzogen und ein examen uffgenommen werden."
177,Wie glychfalls hinder Wistellachen .
178,"Im bösen turn Franceoise Perret de Domppierre , der hexery verdacht, ist mit dem zendtner uffzogen worden, hat aber nichts bekhent ."
179,2 stund an die zwecheln verfelt .
180,"Im bösen thurn an der zwechelen , den 28 augusti 1637 15  ."
181,"Françoyse susdite interrogee derechef sus les poincts sus escripts, n’ast rien confessé, deman dant pardon a Dieu et a messieurs."
182,"Bywesen herrn burgermeisters Gottrouw , hr Fryodts , herrn Hanß Niclausen Brynißholz und Zumwaldts , weybel."
183,Presidente Fleischman Gemeint ist ein Stadtweibel.
184,anstatt deß hrn großweibel Gemeint ist Beat Jakob von Montenach .
185,.
186,"La forme et la formulation de ce passage détonne parmi les autres mentions de ce type ; il semble en outre avoir été ajouté après coup, au bas de la page 450."
187,"Gfangne Franceoise Berset von Dompierre , der hexery verdacht, nach erlitnem keysserlichen rechten unnd die tortur der zwechelen hat nüt bekhennen wöllen."
188,Mit abtrag khostens soll in ewigkheit uß ir gnaden statt unnd landt vereydet werden.
189,"Keller 17 augusti 1637 , judex h großweibel Gemeint ist Beat Jakob von Montenach ."
190,"H Brodardt Techterman , Gribollet Gartner Weibel Ce passage concerne au autre individu."
191,"Françoyse Perset de Dompierre enquise sur les articles de l’examen, a dict qu’elle a ehu des enfantz en legitime mariage de Jean Siguallin de Donatire , lesquelz sont mortz."
192,"Elle confesse qu’elle a esté courroucee contre ses voisins, a cause qu’ilz l’appelloient larronnesse ."
193,"Elle advoue qu’ Elsi l’a battue dans l’eglise avec des clefz et qu’elle porta a ladite Elsi , lors de sa malladie, du laict , de bonne affection et intention, n’ayant oncques faict mal a personne ; qu’elle a aussy baillé a ladite Elsi du frommage pourry ; qu’elle a vendu a Beneiste Motta deux nappes."
194,"Nie d’avoir soufflé contre les genoux de ladite Elsi , qui est femme d’un nommé maistre Pierre ."
195,"Elle advoue d’avoir payé par amiable appointement a Beneiste Monney 10 batz , toutteffois que la prisonniere ne luy avoit faict aucun tort."
196,Elle confesse d’avoir baillé a Jaques Musy une javellette d’orge.
197,"Item d’avoir prins a Katryne du Moullin deux estalles de bois ; que quand elle print son second homme Jean Verdon , le beaufrere de la prisonniere de Donatire la battist de despit qu’elle estoit venue sur es terres ; que les gens de Claude Musy ont esté aux devins, lesquelz ont dict qu’il avoit le decroist ; qu’elle a baillé du baccon a Claude Fontane , lequel en veut a son homme."
198,Elle nie tous les autres articles de l’examen.
199,Crie mercy .
200,Gefangne Ce passage concerne un autre individu.
201,"Françoysa Perset , so wegen als ein unholdin inzogen worden, ist von den herren des grichts exami niert worden."
202,"Wylen sy zu Lugnouroz gebürtig, soll man sich daselbst erkhundigen ihres verhaltens und deswegen dem hr schuldtheissen zuschryben."
203,Gefangne.
204,"Rath Wylen wider Franceysa Perset ein strängs examen vorhanden, dessen sy doch nichts will bekandtlich syn, soll sy lähr uffzogen werden."
205,Im bösen thurn Le procès-verbal de cette séance commence par une mention hors teneur : x rechnung .
206,"20 augusti 1637 , judex h großweibel Gemeint ist Beat Jakob von Montenach ."
207,"H Brodardt , h burgermeister Gemeint ist Tobias Gottrau ."
208,"Schrötter Weibel Françoyse prenommee examinee au long sur tous les articles de l’examen, confesse d’avoir baillé du baccon a Claude Fontane , mais en femme de bien et d’honneur."
209,"Item que son marry l’a battue, mais qu’elle ne le demaudissoit ; qu’elle a esté dans la grange de Benoist Monney pour cercher les oeufz de ses poulles , qu’allors la femme dudit Monney la trouva et luy dict qu’elle voulloit embler son avoine."
210,"Surquoy des parolles aigres se passerent d’une part et d’autre, et des hommes survindrent, qui dirent qu’il failloit accorder."
211,"Et depuis, quand la prisonniere escorchoit le chanvre, on la manda pour faire l’accord, qui fust faict, et luy cousta dix batz , sans qu’elle ehust faict aucun tort a ladite femme."
212,Nie d’avoir menacé ladite femme.
213,"Enquise si elle n’avoit esté cy de vant prisonniere, a dict que non."
214,"De quel lieu elle estoit natifve, a respondu qu’elle avoit esté nourrie a Lunaure , ou ce que son premier marry la print et la meina a Donatire , auquel lieu ilz vescurent en mariage 13 ou 14 ans , et depuis la mort dudit marry, demeura 9 ans a Dompierre ."
215,Elle advoue d’avoir mangee une sienne poulle avec Susanne .
216,Nie tous les autres articles de l’examen.
217,Ist ler uffzogen worden.
218,"Gefangne Franceysa Perset , so nichts bekhennen wöllen, obschon sy lähr uffzogen worden."
219,"Wylen das examen gar scharpff, soll sy mitt dem kleinen stein uffzogen werden."
220,"Le passage qui suit concerne un autre individu, ainsi que le procès mené contre Rose Bise ."
221,Voir SSRQ FR I/2/8 102.1-1 .
222,"Im bösen thurn 21 augusti 1637 , judex h großweibel Gemeint ist Beat Jakob von Montenach ."
223,"Techtermann , Schrötter , Heylman Gartner , Brünißholz Weibel Françoyse susdite a esté torturee avec la petite pierre et n’a voullu confesser aucun article de l’examen."
224,"Gfangne Franceoisa Berset der strudlery verdacht, mit dem lähren seil uffzogen , will nütt bekhennen noch mit der tortur des kleinen steins ."
225,"Habe man noch geduld, biß das examen von Donatyre , alda sie by 14 jar lang gewont hat, ankommen sye."
226,Le passage qui suit concerne le procès mené contre Anni Summerau .
227,Voir SSRQ FR I/2/8 102.2-1 .
228,"Keller 27 augusti 1637 , judex h großweibel Gemeint ist Beat Jakob von Montenach ."
229,"Techterman Gartner , Brünißholz Weibel Ce passage concerne les procès menés contre Anni Summerau et Rose Bise ."
230,Voir SSRQ FR I/2/8 102.3-1 .
231,"Im bösen thurn Françoyse susdite advoue que Pierre Roget l’a voullu a mariage, mais qu’elle y consentist a condition s’il n’alloit a la guerre ; qu’ilz furent au consistoire ; que Roget de despit lança son espee de nuict contre elle par la guinche Le sens de ce mot demeure incertain ; un rapprochement avec guenche peut être envisagé, pour désigner le quillon de l'épée."
232,", quand elle feit ses fiançailles."
233,Nie tous les articles de l’examen.
234,Dict que la servante de Peterman Monney luy bailla une javelle pour l’amour de Dieu.
235,Ist mitt dem zehndner uffzogen worden.
236,SSRQ FR I/2/8 102.1-1 SSRQ FR I/2/8 102.2-1 SSRQ FR I/2/8 102.3-1 SSRQ FR I/2/8 102.4-1 SSRQ FR I/2/8 102.5-1 SSRQ FR I/2/8 102.6-1 SSRQ FR I/2/8 102.7-1 SSRQ FR I/2/8 102.8-1 SSRQ FR I/2/8 102.9-1 SSRQ FR I/2/8 102.10-1
237,"Gefangne Ce passage concerne un autre individu, ainsi que le procès mené contre Françoise Verdon-Berset ."
238,Voir SSRQ FR I/2/8 101.6-1 .
239,Ein frouw Gemeint ist vermutlich Rose Bise .
240,genannt Taggonida Dieser Name wird in leicht abgeändeter Form auch im Fall Barbli Billet-Bodmer erwähnt.
241,SSRQ FR I/2/8 100.5-1 .
242,", by Giffers säßhafft, so ettliche angerürt, doruff sy erkranket und mitt ihrem anrüren widerumb gesundt worden."
243,"Man auch von ihre sonst nitt vill gtts sagt, soll gefänklich inzogen werden und über sy ein examen uff zunemmen."
244,"Gfangne Anni Summerouw mit dem zendtner uffzogen , hat nüt bekhennen wöllen."
245,Ist in ewigkheit uß ir gnaden statt unnd landt vereydet .
246,Mit abtrag khostens.
247,Gfangne Ce passage concerne le procès mené contre Françoise Verdon-Berset .
248,Voir SSRQ FR I/2/8 101.8-1 .
249,"Die verdachte frow ussert Berner thors , genant Sum merouw , soll ynzogen werden."
250,"Techterman Gartner , Brünißholz Weibel Anni Sommerow erfragt, warumb sy gefängklich sye angenommen worden."
251,"Hatt geandtworttet, sy wüs se eß nit."
